OrderID,Date,ProductID,StoreID,CustomerID,Quantity,Discount,Revenue,Cost,Profit
ORD100000,2023-12-27,P1015,S009,C0303,1,0.2,108.25,93.09,15.16
ORD100001,2023-01-01,P1019,S007,C0099,1,0.0,176.76,104.21,72.55
ORD100002,2024-01-22,P1001,S013,C0273,1,0.2,163.49,111.14,52.35
ORD100003,2023-12-14,P1017,S001,C0388,3,0.05,837.99,435.06,402.93
ORD100004,2023-07-09,P1012,S004,C0296,2,0.1,256.91,142.26,114.65
ORD100005,2024-05-19,P1027,S011,C0140,4,0.0,781.12,366.8,414.32
ORD100006,2023-07-10,P1012,S008,C0117,3,0.1,385.37,213.39,171.98
ORD100007,2024-05-22,P1003,S009,C0390,7,0.05,185.6,93.94,91.66
ORD100008,2024-01-04,P1025,S001,C0233,2,0.2,465.33,291.18,174.15
ORD100009,2024-02-13,P1002,S008,C0082,1,0.2,31.83,27.62,4.21
ORD100010,2023-04-27,P1023,S005,C0104,3,0.0,266.25,150.6,115.65
ORD100011,2023-05-14,P1013,S009,C0244,3,0.0,179.55,101.85,77.7
ORD100012,2023-02-27,P1023,S001,C0096,9,0.1,718.88,451.8,267.08
ORD100013,2024-07-09,P1018,S005,C0243,4,0.0,272.96,196.68,76.28
ORD100014,2024-11-15,P1028,S014,C0204,4,0.0,105.32,71.32,34.0
ORD100015,2024-11-02,P1028,S010,C0169,3,0.0,78.99,53.49,25.5
ORD100016,2023-06-22,P1027,S007,C0355,1,0.1,175.75,91.7,84.05
ORD100017,2023-05-29,P1016,S011,C0317,5,0.0,155.45,72.15,83.3
ORD100018,2023-03-21,P1007,S015,C0377,4,0.0,183.8,125.44,58.36
ORD100019,2023-08-01,P1012,S003,C0215,1,0.15,121.32,71.13,50.19
ORD100020,2023-07-22,P1026,S005,C0074,2,0.0,594.66,282.46,312.2
ORD100021,2023-08-17,P1000,S010,C0363,3,0.15,326.02,177.93,148.09
ORD100022,2024-11-06,P1018,S010,C0252,6,0.05,388.97,295.02,93.95
ORD100023,2023-08-15,P1000,S015,C0149,2,0.05,242.92,118.62,124.3
ORD100024,2024-10-20,P1000,S013,C0330,3,0.0,383.55,177.93,205.62
